"","sveitarfelag","verd","staerd"
"152","Reykjavíkurborg",93278,55.8
"153","Reykjavíkurborg",110000,64
"154","Reykjavíkurborg",85000,50
"155","Kópavogsbær",190668,88
"156","Reykjavíkurborg",85000,57
"157","Reykjavíkurborg",110000,84
"158","Reykjavíkurborg",90000,57.4
"159","Reykjavíkurborg",130000,113
"160","Reykjavíkurborg",93000,64
"161","Kópavogsbær",120000,90
"162","Kópavogsbær",1e+05,55.7
"163","Kópavogsbær",80000,55
"164","Reykjavíkurborg",140000,90.1
"165","Reykjavíkurborg",130000,71
"166","Reykjavíkurborg",110000,100.1
"167","Reykjavíkurborg",110000,90
"168","Reykjavíkurborg",85000,55
"169","Reykjavíkurborg",95000,75
"170","Reykjavíkurborg",120000,65
"171","Kópavogsbær",133108,101.2
"172","Reykjavíkurborg",130000,117.7
"173","Reykjavíkurborg",75000,67
"174","Reykjavíkurborg",110000,77.1
"175","Reykjavíkurborg",80000,67
"176","Hafnarfjarðarkaupstaður",130000,100
"177","Reykjavíkurborg",110000,86
"178","Reykjavíkurborg",75000,45
"179","Garðabær",70000,50
"180","Reykjavíkurborg",80000,45
"181","Hafnarfjarðarkaupstaður",1e+05,84.7
"182","Hafnarfjarðarkaupstaður",95000,60
"183","Reykjavíkurborg",67388,42.1
"184","Reykjavíkurborg",120000,93.9
"185","Reykjavíkurborg",95000,78
"186","Reykjavíkurborg",110000,63
"187","Reykjavíkurborg",74230,70
"188","Reykjavíkurborg",110000,101.2
"189","Hafnarfjarðarkaupstaður",120000,70.1
"190","Reykjavíkurborg",70000,104.4
"191","Reykjavíkurborg",125000,90
"192","Reykjavíkurborg",110000,90
"193","Hafnarfjarðarkaupstaður",150000,198.6
"194","Reykjavíkurborg",85000,52.5
"195","Reykjavíkurborg",120000,88.9
"196","Hafnarfjarðarkaupstaður",90000,120
"197","Reykjavíkurborg",92000,86
"198","Reykjavíkurborg",150000,97.6
"199","Hafnarfjarðarkaupstaður",125000,86.8
"200","Kópavogsbær",75000,50.4
"201","Kópavogsbær",85000,62
"202","Reykjavíkurborg",80000,103.4
"203","Reykjavíkurborg",1e+05,83.5
"204","Reykjavíkurborg",110000,74
"205","Reykjavíkurborg",165000,176.8
"206","Reykjavíkurborg",1e+05,83
"207","Reykjavíkurborg",120000,92.5
"208","Hafnarfjarðarkaupstaður",90000,85
"209","Reykjavíkurborg",150000,106.7
"210","Reykjavíkurborg",90000,58.6
"211","Reykjavíkurborg",125000,70
"212","Kópavogsbær",125000,125
"213","Reykjavíkurborg",1e+05,50
"214","Kópavogsbær",90000,58
"215","Reykjavíkurborg",140000,102
"216","Reykjavíkurborg",1e+05,78
"217","Reykjavíkurborg",80000,45
"218","Reykjavíkurborg",74869,45.6
"219","Reykjavíkurborg",76000,80
"220","Reykjavíkurborg",130000,145
"221","Reykjavíkurborg",170000,194.3
"222","Garðabær",80000,69
"223","Reykjavíkurborg",108000,100
"224","Reykjavíkurborg",120000,55
"225","Hafnarfjarðarkaupstaður",150000,103.8
"226","Reykjavíkurborg",1e+05,60
"227","Reykjavíkurborg",120000,90
"228","Reykjavíkurborg",120000,80
"229","Reykjavíkurborg",120000,80.8
"230","Reykjavíkurborg",125000,94.5
"231","Reykjavíkurborg",90000,60
"232","Reykjavíkurborg",75000,40
"233","Kópavogsbær",210000,250
"234","Reykjavíkurborg",120000,80.8
"235","Kópavogsbær",1e+05,76
"236","Reykjavíkurborg",90000,62.5
"237","Kópavogsbær",160000,145
"238","Reykjavíkurborg",140000,84.4
"239","Reykjavíkurborg",99187,105
"240","Hafnarfjarðarkaupstaður",115000,72
"241","Reykjavíkurborg",75000,40
"242","Reykjavíkurborg",160000,110
"243","Kópavogsbær",120000,85
"244","Reykjavíkurborg",1e+05,84
"245","Reykjavíkurborg",80000,44
"246","Reykjavíkurborg",120000,93
"247","Reykjavíkurborg",85000,54.2
"248","Mosfellsbær",90000,101.7
"249","Hafnarfjarðarkaupstaður",65000,54
"250","Reykjavíkurborg",1e+05,77
"251","Reykjavíkurborg",70000,55
"252","Garðabær",135000,113.1
"253","Reykjavíkurborg",170000,118
"254","Hafnarfjarðarkaupstaður",80000,57
"255","Reykjavíkurborg",71051,38.8
"256","Hafnarfjarðarkaupstaður",80000,86
"257","Reykjavíkurborg",120000,75
"258","Reykjavíkurborg",91547,50.6
"259","Reykjavíkurborg",70000,120
"260","Reykjavíkurborg",130000,85
"261","Reykjavíkurborg",105000,89
"262","Hafnarfjarðarkaupstaður",95000,70
"263","Reykjavíkurborg",125000,72
"264","Reykjavíkurborg",65000,75
"265","Reykjavíkurborg",85000,67.3
"266","Reykjavíkurborg",95000,50
"267","Hafnarfjarðarkaupstaður",120000,106.1
"268","Kópavogsbær",140000,97
"269","Reykjavíkurborg",2e+05,203.7
"270","Reykjavíkurborg",90000,77.4
"271","Reykjavíkurborg",78000,65
"272","Reykjavíkurborg",1e+05,54
"273","Garðabær",84204,71
"274","Reykjavíkurborg",110000,79.8
"275","Kópavogsbær",1e+05,48
"276","Hafnarfjarðarkaupstaður",80000,60
"277","Garðabær",110000,103
"278","Kópavogsbær",80000,62.1
"279","Kópavogsbær",1e+05,79.3
"280","Kópavogsbær",85000,47.2
"281","Reykjavíkurborg",75000,87.7
"282","Reykjavíkurborg",158000,134.5
"283","Garðabær",70000,33
"284","Garðabær",84204,70
"285","Reykjavíkurborg",1e+05,60
"286","Hafnarfjarðarkaupstaður",80000,60
"287","Hafnarfjarðarkaupstaður",144740,194.4
"288","Hafnarfjarðarkaupstaður",95000,76.5
"289","Reykjavíkurborg",95000,57
"290","Kópavogsbær",110000,88
"291","Reykjavíkurborg",1e+05,100
"292","Reykjavíkurborg",65000,77.1
"293","Reykjavíkurborg",67388,42.1
"294","Kópavogsbær",1e+05,126
"295","Reykjavíkurborg",150000,94
"296","Kópavogsbær",105000,67.5
"297","Reykjavíkurborg",130000,96
"298","Reykjavíkurborg",70000,55
"299","Hafnarfjarðarkaupstaður",67609,41.1
"300","Reykjavíkurborg",90000,80
"301","Reykjavíkurborg",105000,66
"302","Reykjavíkurborg",1e+05,79.5
"303","Garðabær",95364,63.1
"304","Hafnarfjarðarkaupstaður",125000,106
"305","Reykjavíkurborg",125000,89
"306","Reykjavíkurborg",130000,50.9
"307","Hafnarfjarðarkaupstaður",130000,119.8
"308","Reykjavíkurborg",115000,70.3
"309","Reykjavíkurborg",125000,107
"310","Reykjavíkurborg",67388,42.1
"311","Reykjavíkurborg",120000,90.7
"312","Hafnarfjarðarkaupstaður",110000,82
"313","Hafnarfjarðarkaupstaður",130000,180
"314","Reykjavíkurborg",75000,45
"315","Reykjavíkurborg",90000,60
"316","Kópavogsbær",130000,95.8
"317","Hafnarfjarðarkaupstaður",130000,117.7
"318","Reykjavíkurborg",80000,96
"319","Reykjavíkurborg",115000,88.2
