"","sveitarfelag","verd","staerd"
"12021","Reykjavíkurborg",140000,88.1
"12022","Reykjavíkurborg",78500,76.5
"12023","Reykjavíkurborg",115000,68
"12024","Reykjavíkurborg",143607,108
"12025","Reykjavíkurborg",155000,95
"12026","Hafnarfjarðarkaupstaður",95299,50.6
"12027","Kópavogsbær",160000,93
"12028","Reykjavíkurborg",95039,50.1
"12029","Reykjavíkurborg",105548,66.4
"12030","Kópavogsbær",150000,153
"12031","Reykjavíkurborg",120000,70
"12032","Reykjavíkurborg",170000,103.7
"12033","Reykjavíkurborg",130000,66.2
"12034","Reykjavíkurborg",120000,77.8
"12035","Hafnarfjarðarkaupstaður",160000,113.9
"12036","Reykjavíkurborg",150000,75.4
"12037","Reykjavíkurborg",95299,50.2
"12038","Kópavogsbær",115000,50.3
"12039","Hafnarfjarðarkaupstaður",110000,45
"12040","Kópavogsbær",185000,119.9
"12041","Reykjavíkurborg",148000,80
"12042","Reykjavíkurborg",95039,63.7
"12043","Reykjavíkurborg",89994,42.1
"12044","Reykjavíkurborg",185000,75.2
"12045","Hafnarfjarðarkaupstaður",230000,155
"12046","Reykjavíkurborg",79578,39.7
"12047","Reykjavíkurborg",120000,59
"12048","Kópavogsbær",160000,88.8
"12049","Reykjavíkurborg",95000,44
"12050","Hafnarfjarðarkaupstaður",88874,86.7
"12051","Hafnarfjarðarkaupstaður",110000,70.4
"12052","Reykjavíkurborg",140000,93.3
"12053","Reykjavíkurborg",180000,150
"12054","Reykjavíkurborg",94992,50.1
"12055","Reykjavíkurborg",120000,85.9
"12056","Kópavogsbær",88000,49.1
"12057","Reykjavíkurborg",75576,42.1
"12058","Hafnarfjarðarkaupstaður",88874,86.7
"12059","Reykjavíkurborg",195000,136
"12060","Kópavogsbær",140000,115
"12061","Kópavogsbær",165000,104.1
"12062","Reykjavíkurborg",1e+05,100.2
"12063","Reykjavíkurborg",140000,90.7
"12064","Hafnarfjarðarkaupstaður",158000,97.6
"12065","Reykjavíkurborg",151000,80.3
"12066","Kópavogsbær",75000,32
"12067","Hafnarfjarðarkaupstaður",120000,85
"12068","Hafnarfjarðarkaupstaður",88661,90.4
"12069","Hafnarfjarðarkaupstaður",98000,60
"12070","Reykjavíkurborg",145000,88.9
"12071","Mosfellsbær",180917,118
"12072","Hafnarfjarðarkaupstaður",120000,90.9
"12073","Reykjavíkurborg",99000,51
"12074","Hafnarfjarðarkaupstaður",165000,133.2
"12075","Reykjavíkurborg",175000,135
"12076","Reykjavíkurborg",125000,41.8
"12077","Hafnarfjarðarkaupstaður",145000,105.8
"12078","Kópavogsbær",130000,56
"12079","Hafnarfjarðarkaupstaður",88874,86.7
"12080","Reykjavíkurborg",170000,90
"12081","Reykjavíkurborg",104287,59.3
"12082","Hafnarfjarðarkaupstaður",110034,105.2
"12083","Hafnarfjarðarkaupstaður",88874,86.7
"12084","Reykjavíkurborg",155000,85.1
"12085","Reykjavíkurborg",170000,58
"12086","Hafnarfjarðarkaupstaður",75576,42.4
"12087","Hafnarfjarðarkaupstaður",97568,84.1
"12088","Kópavogsbær",131300,85.1
"12089","Garðabær",160000,111.2
"12090","Reykjavíkurborg",95000,63.6
"12091","Mosfellsbær",135000,90
"12092","Reykjavíkurborg",125000,58.2
"12093","Mosfellsbær",270000,197.5
"12094","Hafnarfjarðarkaupstaður",110034,105.2
"12095","Reykjavíkurborg",140000,78.7
"12096","Hafnarfjarðarkaupstaður",88456,67.7
"12097","Reykjavíkurborg",130000,40
"12098","Reykjavíkurborg",91000,50
"12099","Reykjavíkurborg",75000,22.8
"12100","Hafnarfjarðarkaupstaður",75576,43.6
"12101","Reykjavíkurborg",115000,68.4
"12102","Hafnarfjarðarkaupstaður",123000,129.7
"12103","Reykjavíkurborg",115000,65
"12104","Reykjavíkurborg",125000,62.4
"12105","Reykjavíkurborg",90000,62.5
"12106","Reykjavíkurborg",90429,60
"12107","Reykjavíkurborg",120000,65
"12108","Reykjavíkurborg",120000,45
"12109","Reykjavíkurborg",120000,67.3
"12110","Reykjavíkurborg",95039,63.7
"12111","Reykjavíkurborg",85000,47
"12112","Reykjavíkurborg",103500,36.2
"12113","Reykjavíkurborg",164000,89.9
"12114","Kópavogsbær",72000,25.7
"12115","Kópavogsbær",150000,101
"12116","Kópavogsbær",180000,99
"12117","Reykjavíkurborg",155000,56
"12118","Reykjavíkurborg",101510,88
"12119","Reykjavíkurborg",83965,49.7
"12120","Hafnarfjarðarkaupstaður",150000,127.4
"12121","Reykjavíkurborg",1e+05,90
"12122","Hafnarfjarðarkaupstaður",130000,86.1
"12123","Reykjavíkurborg",150000,65.1
"12124","Reykjavíkurborg",155000,50
"12125","Reykjavíkurborg",107761,68.1
"12126","Hafnarfjarðarkaupstaður",190000,120.2
"12127","Reykjavíkurborg",185000,120
"12128","Reykjavíkurborg",1e+05,50
"12129","Reykjavíkurborg",110000,43
"12130","Reykjavíkurborg",65670,101.8
"12131","Reykjavíkurborg",120000,74
"12132","Reykjavíkurborg",90000,60
"12133","Reykjavíkurborg",65000,30
"12134","Reykjavíkurborg",90000,93
"12135","Hafnarfjarðarkaupstaður",160000,128.3
"12136","Reykjavíkurborg",106932,67
"12137","Reykjavíkurborg",120000,60
"12138","Reykjavíkurborg",4e+05,234.7
"12139","Reykjavíkurborg",150000,111.7
"12140","Reykjavíkurborg",162550,90.4
"12141","Hafnarfjarðarkaupstaður",96859,55.8
"12142","Reykjavíkurborg",95039,59.9
"12143","Reykjavíkurborg",115000,45
"12144","Reykjavíkurborg",150000,95
"12145","Garðabær",180000,250
"12146","Hafnarfjarðarkaupstaður",120750,100.1
"12147","Reykjavíkurborg",105000,47
"12148","Reykjavíkurborg",110000,60
"12149","Reykjavíkurborg",85000,51.5
"12150","Hafnarfjarðarkaupstaður",130000,90
"12151","Reykjavíkurborg",170000,70
"12152","Reykjavíkurborg",98000,60
"12153","Reykjavíkurborg",150000,90
"12154","Reykjavíkurborg",150000,87.6
"12155","Reykjavíkurborg",78931,53.2
"12156","Reykjavíkurborg",90000,53.8
"12157","Reykjavíkurborg",115000,60
"12158","Reykjavíkurborg",95000,52.2
"12159","Reykjavíkurborg",108000,57
"12160","Hafnarfjarðarkaupstaður",150000,100
"12161","Hafnarfjarðarkaupstaður",1e+05,70
"12162","Reykjavíkurborg",160000,88.5
"12163","Hafnarfjarðarkaupstaður",170000,114.1
"12164","Reykjavíkurborg",83439,52.2
"12165","Reykjavíkurborg",125000,91
"12166","Reykjavíkurborg",2e+05,95.9
"12167","Reykjavíkurborg",180000,81
"12168","Reykjavíkurborg",91617,91.4
"12169","Reykjavíkurborg",110000,49.4
"12170","Reykjavíkurborg",150000,85.3
"12171","Reykjavíkurborg",123043,82
"12172","Reykjavíkurborg",79422,38.8
"12173","Hafnarfjarðarkaupstaður",150000,88.1
"12174","Hafnarfjarðarkaupstaður",75724,42.1
"12175","Reykjavíkurborg",120000,135.7
"12176","Reykjavíkurborg",150000,109.3
"12177","Reykjavíkurborg",68000,33.3
"12178","Reykjavíkurborg",67200,70.8
"12179","Reykjavíkurborg",82613,48.9
"12180","Reykjavíkurborg",140000,62
"12181","Hafnarfjarðarkaupstaður",80000,91.1
"12182","Hafnarfjarðarkaupstaður",117400,68.4
"12183","Reykjavíkurborg",181000,115
"12184","Reykjavíkurborg",1e+05,45
"12185","Reykjavíkurborg",95299,63.9
"12186","Reykjavíkurborg",85000,30
"12187","Mosfellsbær",90000,97.3
"12188","Reykjavíkurborg",170000,92
"12189","Reykjavíkurborg",135000,80
"12190","Reykjavíkurborg",65000,29.8
"12191","Reykjavíkurborg",153805,95
"12192","Kópavogsbær",129700,79.2
"12193","Reykjavíkurborg",84669,52
"12194","Reykjavíkurborg",135000,73
"12195","Reykjavíkurborg",150000,68.4
"12196","Reykjavíkurborg",80000,74
"12197","Reykjavíkurborg",150000,70
"12198","Reykjavíkurborg",149928,80.4
"12199","Reykjavíkurborg",120000,61.5
"12200","Kópavogsbær",125000,78
"12201","Reykjavíkurborg",115000,58
"12202","Reykjavíkurborg",174000,130
"12203","Reykjavíkurborg",87995,65.5
"12204","Reykjavíkurborg",70000,77.3
"12205","Kópavogsbær",160000,77.1
"12206","Reykjavíkurborg",91000,53.7
"12207","Reykjavíkurborg",90000,55.6
"12208","Kópavogsbær",80000,80
"12209","Reykjavíkurborg",99000,77.3
"12210","Reykjavíkurborg",95000,43.2
"12211","Reykjavíkurborg",85000,65
"12212","Reykjavíkurborg",1e+05,72
"12213","Reykjavíkurborg",125000,61.2
"12214","Kópavogsbær",120000,68
"12215","Reykjavíkurborg",155000,108.2
"12216","Reykjavíkurborg",180000,94
"12217","Reykjavíkurborg",150000,97.4
"12218","Reykjavíkurborg",90429,60
"12219","Hafnarfjarðarkaupstaður",160000,103
"12220","Hafnarfjarðarkaupstaður",121000,87.6
"12221","Hafnarfjarðarkaupstaður",124573,73.3
"12222","Reykjavíkurborg",120000,57
"12223","Hafnarfjarðarkaupstaður",124330,72.7
"12224","Reykjavíkurborg",95299,66.7
"12225","Kópavogsbær",110000,73.9
"12226","Kópavogsbær",136000,76.6
"12227","Reykjavíkurborg",210000,156
"12228","Kópavogsbær",115000,88
"12229","Reykjavíkurborg",1e+05,94.1
"12230","Hafnarfjarðarkaupstaður",108980,60.8
"12231","Reykjavíkurborg",169500,97
"12232","Kópavogsbær",130000,122
"12233","Reykjavíkurborg",160000,79.5
"12234","Kópavogsbær",115000,55
"12235","Reykjavíkurborg",92000,47.9
"12236","Garðabær",111000,100
"12237","Reykjavíkurborg",109000,40
"12238","Reykjavíkurborg",145000,65
"12239","Reykjavíkurborg",185000,82.1
"12240","Reykjavíkurborg",135482,83.8
"12241","Reykjavíkurborg",75000,52
"12242","Reykjavíkurborg",90000,35
"12243","Garðabær",130000,63
"12244","Reykjavíkurborg",120000,50
"12245","Kópavogsbær",130000,93
"12246","Hafnarfjarðarkaupstaður",135000,60
"12247","Reykjavíkurborg",165000,95
"12248","Reykjavíkurborg",160000,63.3
"12249","Reykjavíkurborg",85000,40
"12250","Garðabær",1e+05,68
"12251","Reykjavíkurborg",115000,51.6
"12252","Reykjavíkurborg",107500,57.2
"12253","Reykjavíkurborg",93604,67.5
"12254","Reykjavíkurborg",130000,78
"12255","Reykjavíkurborg",110000,64.3
"12256","Reykjavíkurborg",170000,165
"12257","Reykjavíkurborg",87771,52
"12258","Reykjavíkurborg",130000,50.9
"12259","Reykjavíkurborg",74119,42.1
"12260","Hafnarfjarðarkaupstaður",105000,66.1
"12261","Reykjavíkurborg",90000,40
"12262","Reykjavíkurborg",130000,61.6
"12263","Reykjavíkurborg",150000,78
"12264","Reykjavíkurborg",135000,52.9
"12265","Reykjavíkurborg",1e+05,60
"12266","Reykjavíkurborg",150000,120
"12267","Reykjavíkurborg",60186,32
"12268","Reykjavíkurborg",107623,66.6
"12269","Reykjavíkurborg",116500,61
"12270","Reykjavíkurborg",2e+05,108.2
"12271","Reykjavíkurborg",130000,88
"12272","Hafnarfjarðarkaupstaður",175000,118
"12273","Reykjavíkurborg",170000,80
"12274","Mosfellsbær",135000,100
"12275","Reykjavíkurborg",120000,38
"12276","Reykjavíkurborg",108008,72
"12277","Reykjavíkurborg",160000,70
"12278","Hafnarfjarðarkaupstaður",150000,116
"12279","Reykjavíkurborg",1e+05,52
"12280","Reykjavíkurborg",86000,62
"12281","Reykjavíkurborg",95000,42
"12282","Hafnarfjarðarkaupstaður",140000,92
"12283","Reykjavíkurborg",1e+05,88.9
"12284","Reykjavíkurborg",119715,67
"12285","Reykjavíkurborg",130000,82
"12286","Hafnarfjarðarkaupstaður",101750,110.8
"12287","Reykjavíkurborg",105000,63
"12288","Reykjavíkurborg",97000,47.8
"12289","Hafnarfjarðarkaupstaður",110000,81.6
"12290","Reykjavíkurborg",155000,114.1
"12291","Reykjavíkurborg",190000,64
"12292","Reykjavíkurborg",180000,84.5
"12293","Reykjavíkurborg",165000,82.6
"12294","Reykjavíkurborg",118000,52.4
"12295","Reykjavíkurborg",130000,100
"12296","Reykjavíkurborg",120000,31.5
"12297","Reykjavíkurborg",153809,91.3
"12298","Reykjavíkurborg",117000,60
"12299","Reykjavíkurborg",75576,42.1
"12300","Reykjavíkurborg",1e+05,46
"12301","Hafnarfjarðarkaupstaður",160000,107.3
"12302","Reykjavíkurborg",79577,37.7
"12303","Reykjavíkurborg",88545,42.1
"12304","Reykjavíkurborg",105000,52.8
"12305","Reykjavíkurborg",115000,55
"12306","Reykjavíkurborg",1e+05,55
"12307","Reykjavíkurborg",140000,72.7
"12308","Reykjavíkurborg",150000,67.6
"12309","Reykjavíkurborg",105601,66.6
"12310","Reykjavíkurborg",140000,77
"12311","Kópavogsbær",157000,114.6
"12312","Hafnarfjarðarkaupstaður",120000,79
"12313","Kópavogsbær",136000,74
"12314","Reykjavíkurborg",105000,56
"12315","Reykjavíkurborg",185000,74.4
"12316","Reykjavíkurborg",122000,35
"12317","Reykjavíkurborg",125000,97
"12318","Reykjavíkurborg",90000,61
"12319","Hafnarfjarðarkaupstaður",175000,134.7
"12320","Reykjavíkurborg",110000,83
"12321","Kópavogsbær",160000,111
"12322","Reykjavíkurborg",90605,60
"12323","Reykjavíkurborg",120000,92.4
"12324","Kópavogsbær",165000,116
"12325","Reykjavíkurborg",107000,31.9
"12326","Reykjavíkurborg",90000,65
"12327","Reykjavíkurborg",122825,71.9
"12328","Hafnarfjarðarkaupstaður",135000,94.8
"12329","Reykjavíkurborg",90000,58
"12330","Reykjavíkurborg",115000,60.2
"12331","Reykjavíkurborg",190000,127.5
"12332","Reykjavíkurborg",107623,58.6
"12333","Reykjavíkurborg",120000,52
"12334","Reykjavíkurborg",170000,90
"12335","Reykjavíkurborg",135000,86.6
"12336","Reykjavíkurborg",70000,48
"12337","Reykjavíkurborg",120000,103.4
"12338","Kópavogsbær",130000,99.4
"12339","Hafnarfjarðarkaupstaður",84000,60
"12340","Kópavogsbær",185000,97
"12341","Kópavogsbær",85708,84
"12342","Kópavogsbær",170000,96.2
"12343","Reykjavíkurborg",130000,56.7
"12344","Reykjavíkurborg",168000,126
"12345","Reykjavíkurborg",90000,70
"12346","Reykjavíkurborg",107623,61.6
"12347","Reykjavíkurborg",180000,78.2
"12348","Reykjavíkurborg",110000,73.3
"12349","Hafnarfjarðarkaupstaður",155000,100.3
"12350","Kópavogsbær",75000,39
"12351","Reykjavíkurborg",110000,73.3
"12352","Hafnarfjarðarkaupstaður",95299,59.4
"12353","Hafnarfjarðarkaupstaður",97250,86
"12354","Kópavogsbær",180000,124.5
"12355","Reykjavíkurborg",155000,88
"12356","Reykjavíkurborg",130000,86.2
"12357","Hafnarfjarðarkaupstaður",107000,62
"12358","Reykjavíkurborg",157000,87
"12359","Reykjavíkurborg",102000,62.9
"12360","Reykjavíkurborg",124500,83
"12361","Kópavogsbær",175000,93
"12362","Kópavogsbær",120000,85.8
"12363","Reykjavíkurborg",150000,109
"12364","Reykjavíkurborg",95299,50.2
"12365","Reykjavíkurborg",145000,64
"12366","Reykjavíkurborg",148946,72
"12367","Reykjavíkurborg",150000,154.7
"12368","Reykjavíkurborg",150000,75.6
"12369","Hafnarfjarðarkaupstaður",135000,83
"12370","Hafnarfjarðarkaupstaður",155218,105.8
"12371","Hafnarfjarðarkaupstaður",2e+05,187
"12372","Kópavogsbær",185000,121.4
"12373","Reykjavíkurborg",103000,79.2
"12374","Reykjavíkurborg",75576,42.1
"12375","Garðabær",73000,98
"12376","Reykjavíkurborg",84669,52.4
"12377","Reykjavíkurborg",170000,101.4
"12378","Garðabær",110000,76.2
"12379","Reykjavíkurborg",95000,51
"12380","Reykjavíkurborg",123065,71.1
"12381","Kópavogsbær",135000,97
"12382","Reykjavíkurborg",90000,118
"12383","Reykjavíkurborg",105038,81.1
"12384","Reykjavíkurborg",165000,76
"12385","Reykjavíkurborg",120000,64.8
"12386","Reykjavíkurborg",90000,86.1
"12387","Reykjavíkurborg",106932,65
"12388","Reykjavíkurborg",155000,67.8
"12389","Reykjavíkurborg",135000,80
"12390","Reykjavíkurborg",75000,49
"12391","Reykjavíkurborg",110000,75
"12392","Reykjavíkurborg",150000,94.4
"12393","Reykjavíkurborg",160000,85
"12394","Kópavogsbær",150000,76
"12395","Hafnarfjarðarkaupstaður",110000,120
"12396","Reykjavíkurborg",120000,112
"12397","Hafnarfjarðarkaupstaður",115000,59
"12398","Reykjavíkurborg",95000,50
"12399","Reykjavíkurborg",125000,100
"12400","Reykjavíkurborg",160000,120
"12401","Reykjavíkurborg",115000,60.6
"12402","Kópavogsbær",132223,93.4
"12403","Reykjavíkurborg",115000,45
"12404","Reykjavíkurborg",90000,41.4
"12405","Reykjavíkurborg",190000,106.5
"12406","Reykjavíkurborg",90000,61.5
"12407","Reykjavíkurborg",110769,59.1
"12408","Reykjavíkurborg",105601,58.9
"12409","Reykjavíkurborg",150000,78.8
"12410","Reykjavíkurborg",74156,42.1
"12411","Reykjavíkurborg",120000,118
"12412","Reykjavíkurborg",110769,59.1
"12413","Reykjavíkurborg",135000,52
"12414","Reykjavíkurborg",150000,188
"12415","Reykjavíkurborg",150000,61
"12416","Reykjavíkurborg",95039,63.7
"12417","Reykjavíkurborg",180000,99
"12418","Reykjavíkurborg",210000,101.2
"12419","Reykjavíkurborg",170000,60
"12420","Hafnarfjarðarkaupstaður",97048,50.6
"12421","Hafnarfjarðarkaupstaður",180000,127.8
"12422","Garðabær",150000,96
"12423","Reykjavíkurborg",140000,82.5
"12424","Kópavogsbær",104000,97.4
"12425","Hafnarfjarðarkaupstaður",140000,80
"12426","Reykjavíkurborg",120000,77
"12427","Hafnarfjarðarkaupstaður",160000,87
"12428","Kópavogsbær",150000,78.1
"12429","Reykjavíkurborg",110000,60
"12430","Kópavogsbær",130000,99.6
"12431","Reykjavíkurborg",75000,90
"12432","Reykjavíkurborg",115000,56.7
"12433","Reykjavíkurborg",165000,88.2
"12434","Reykjavíkurborg",130000,63
"12435","Hafnarfjarðarkaupstaður",145000,120
"12436","Reykjavíkurborg",102777,55
"12437","Hafnarfjarðarkaupstaður",150000,80
"12438","Reykjavíkurborg",70000,68
"12439","Reykjavíkurborg",80000,89.8
"12440","Reykjavíkurborg",1e+05,85
"12441","Hafnarfjarðarkaupstaður",120000,55
"12442","Reykjavíkurborg",65000,48
"12443","Reykjavíkurborg",120000,123.3
"12444","Reykjavíkurborg",125000,97.5
"12445","Reykjavíkurborg",107500,36.1
"12446","Reykjavíkurborg",170000,86.9
"12447","Reykjavíkurborg",145000,82
"12448","Reykjavíkurborg",80000,36.6
"12449","Mosfellsbær",70426,35.2
"12450","Reykjavíkurborg",104000,59.5
"12451","Reykjavíkurborg",73000,42.9
"12452","Reykjavíkurborg",146362,76.7
"12453","Reykjavíkurborg",150000,75
"12454","Kópavogsbær",130000,58.1
"12455","Reykjavíkurborg",79577,39.7
"12456","Reykjavíkurborg",107833,66.3
"12457","Reykjavíkurborg",95039,50.1
"12458","Garðabær",150000,93.4
"12459","Reykjavíkurborg",85388,48.9
"12460","Reykjavíkurborg",90000,84.5
"12461","Reykjavíkurborg",110000,62.9
"12462","Kópavogsbær",103000,97.4
"12463","Reykjavíkurborg",143000,80
"12464","Hafnarfjarðarkaupstaður",105000,61.3
"12465","Reykjavíkurborg",79732,38.8
"12466","Mosfellsbær",155000,128.5
"12467","Reykjavíkurborg",80000,30
"12468","Hafnarfjarðarkaupstaður",108000,59.7
"12469","Reykjavíkurborg",120000,70.4
"12470","Reykjavíkurborg",140000,156.3
"12471","Reykjavíkurborg",75000,34.2
"12472","Reykjavíkurborg",125000,61.3
"12473","Reykjavíkurborg",150000,64
"12474","Reykjavíkurborg",112000,83.2
"12475","Reykjavíkurborg",195000,121.2
"12476","Reykjavíkurborg",74156,55.8
"12477","Hafnarfjarðarkaupstaður",108000,80
"12478","Reykjavíkurborg",185000,133
"12479","Reykjavíkurborg",140000,98
"12480","Hafnarfjarðarkaupstaður",3e+05,241
"12481","Reykjavíkurborg",135000,75
"12482","Reykjavíkurborg",94992,59.9
"12483","Reykjavíkurborg",120000,100
"12484","Reykjavíkurborg",185350,98
"12485","Reykjavíkurborg",150000,92.3
"12486","Reykjavíkurborg",135000,62.1
"12487","Hafnarfjarðarkaupstaður",117000,107.9
"12488","Garðabær",185570,168.7
"12489","Reykjavíkurborg",150000,86.1
"12490","Hafnarfjarðarkaupstaður",126060,65.8
"12491","Hafnarfjarðarkaupstaður",240758,112.9
"12492","Reykjavíkurborg",110000,50
"12493","Reykjavíkurborg",148000,93.6
"12494","Reykjavíkurborg",168000,140
"12495","Reykjavíkurborg",70000,35
"12496","Reykjavíkurborg",90000,65.5
"12497","Hafnarfjarðarkaupstaður",97048,55.8
"12498","Reykjavíkurborg",175000,80
"12499","Reykjavíkurborg",108548,66.4
"12500","Reykjavíkurborg",150000,84.6
"12501","Hafnarfjarðarkaupstaður",158000,92.8
"12502","Reykjavíkurborg",123000,56.4
"12503","Hafnarfjarðarkaupstaður",150000,106.9
"12504","Reykjavíkurborg",115000,62
"12505","Reykjavíkurborg",150000,75.5
"12506","Reykjavíkurborg",2e+05,117.8
"12507","Hafnarfjarðarkaupstaður",140000,108
"12508","Hafnarfjarðarkaupstaður",158000,96.4
"12509","Reykjavíkurborg",120000,88
"12510","Reykjavíkurborg",210000,112.5
"12511","Reykjavíkurborg",90605,62.1
"12512","Kópavogsbær",167000,89.5
"12513","Kópavogsbær",155000,100.9
"12514","Reykjavíkurborg",170000,82.5
"12515","Reykjavíkurborg",135000,55.6
"12516","Kópavogsbær",214665,88.7
"12517","Reykjavíkurborg",115000,90
"12518","Reykjavíkurborg",95299,66.8
"12519","Reykjavíkurborg",150000,82.2
"12520","Reykjavíkurborg",85000,62.3
"12521","Reykjavíkurborg",150000,112.5
"12522","Reykjavíkurborg",125000,53.8
"12523","Reykjavíkurborg",107833,58.7
"12524","Reykjavíkurborg",130000,58
"12525","Reykjavíkurborg",180000,80
"12526","Reykjavíkurborg",135000,63
"12527","Reykjavíkurborg",90000,70
"12528","Kópavogsbær",145000,91.1
"12529","Reykjavíkurborg",1e+05,83.7
"12530","Reykjavíkurborg",130000,85
"12531","Hafnarfjarðarkaupstaður",170000,102
"12532","Reykjavíkurborg",180000,136.5
"12533","Reykjavíkurborg",105000,169.5
"12534","Reykjavíkurborg",61410,32
"12535","Hafnarfjarðarkaupstaður",170000,130
"12536","Reykjavíkurborg",80000,70
"12537","Reykjavíkurborg",110000,40
"12538","Hafnarfjarðarkaupstaður",85000,30
"12539","Reykjavíkurborg",1e+05,72
"12540","Kópavogsbær",1e+05,90
"12541","Reykjavíkurborg",120000,60
"12542","Reykjavíkurborg",115000,73.4
"12543","Reykjavíkurborg",85000,74
"12544","Reykjavíkurborg",75724,42.1
"12545","Hafnarfjarðarkaupstaður",75750,60.7
"12546","Reykjavíkurborg",78576,42
"12547","Hafnarfjarðarkaupstaður",1e+05,50
"12548","Reykjavíkurborg",75000,40
"12549","Reykjavíkurborg",170000,80.7
"12550","Kópavogsbær",161000,79.5
"12551","Reykjavíkurborg",140000,90
"12552","Hafnarfjarðarkaupstaður",105000,77.6
"12553","Kópavogsbær",135000,100
"12554","Mosfellsbær",130000,72.4
"12555","Reykjavíkurborg",75724,42
"12556","Reykjavíkurborg",120000,64.1
"12557","Reykjavíkurborg",150000,97
"12558","Garðabær",115000,66
"12559","Reykjavíkurborg",139000,112
"12560","Reykjavíkurborg",101000,54.1
"12561","Reykjavíkurborg",81724,42.1
"12562","Hafnarfjarðarkaupstaður",78724,42.1
"12563","Reykjavíkurborg",110000,30
"12564","Reykjavíkurborg",146091,79
"12565","Reykjavíkurborg",2e+05,127.1
"12566","Reykjavíkurborg",260000,168.4
"12567","Hafnarfjarðarkaupstaður",160000,188.6
"12568","Reykjavíkurborg",115300,66.7
"12569","Reykjavíkurborg",1e+05,118.5
"12570","Mosfellsbær",125000,82
"12571","Reykjavíkurborg",130000,77
"12572","Kópavogsbær",165058,89.1
"12573","Reykjavíkurborg",1e+05,98
"12574","Reykjavíkurborg",175000,121.5
"12575","Kópavogsbær",214666,89.5
"12576","Reykjavíkurborg",1e+05,43
"12577","Kópavogsbær",150000,71.1
"12578","Kópavogsbær",110000,53.3
"12579","Reykjavíkurborg",130000,48
"12580","Reykjavíkurborg",130000,93
"12581","Reykjavíkurborg",180000,74.8
"12582","Reykjavíkurborg",197000,110
"12583","Reykjavíkurborg",103652,50
"12584","Hafnarfjarðarkaupstaður",120000,125
"12585","Reykjavíkurborg",140000,66.4
"12586","Reykjavíkurborg",100215,60
"12587","Reykjavíkurborg",66712,47.6
"12588","Hafnarfjarðarkaupstaður",150000,90
"12589","Reykjavíkurborg",144000,115.3
"12590","Reykjavíkurborg",101000,54.5
"12591","Reykjavíkurborg",120000,50
"12592","Reykjavíkurborg",151255,101.7
"12593","Reykjavíkurborg",135000,86.4
"12594","Reykjavíkurborg",80000,38.5
"12595","Reykjavíkurborg",131000,55
"12596","Reykjavíkurborg",135000,65
"12597","Reykjavíkurborg",105890,58.7
"12598","Reykjavíkurborg",80000,45
"12599","Reykjavíkurborg",75000,52
"12600","Hafnarfjarðarkaupstaður",81724,42.1
"12601","Kópavogsbær",125000,63
"12602","Kópavogsbær",120000,53
"12603","Reykjavíkurborg",75000,57
"12604","Reykjavíkurborg",175000,79.9
"12605","Reykjavíkurborg",120000,60
"12606","Mosfellsbær",172400,170.7
"12607","Reykjavíkurborg",177000,111.1
"12608","Hafnarfjarðarkaupstaður",165000,98.5
"12609","Kópavogsbær",140000,67
"12610","Hafnarfjarðarkaupstaður",250000,211.3
"12611","Reykjavíkurborg",150000,50
"12612","Reykjavíkurborg",85000,31
"12613","Reykjavíkurborg",130000,42
"12614","Reykjavíkurborg",107833,66
"12615","Reykjavíkurborg",70000,70
"12616","Garðabær",120000,73.7
"12617","Reykjavíkurborg",108000,60
"12618","Kópavogsbær",170000,122.2
"12619","Hafnarfjarðarkaupstaður",169948,122.8
"12620","Hafnarfjarðarkaupstaður",105000,60
"12621","Kópavogsbær",147000,122.5
"12622","Reykjavíkurborg",1e+05,153
"12623","Reykjavíkurborg",120000,58
"12624","Hafnarfjarðarkaupstaður",1e+05,84
"12625","Reykjavíkurborg",115000,41
"12626","Reykjavíkurborg",110000,80
"12627","Hafnarfjarðarkaupstaður",125000,117.4
"12628","Reykjavíkurborg",150000,94
"12629","Kópavogsbær",153000,122.3
"12630","Mosfellsbær",150000,112.4
"12631","Reykjavíkurborg",75000,40
"12632","Reykjavíkurborg",155000,93.2
"12633","Kópavogsbær",217000,140.4
"12634","Reykjavíkurborg",175000,87.2
"12635","Reykjavíkurborg",101000,116.2
"12636","Reykjavíkurborg",170000,115
"12637","Reykjavíkurborg",125000,95
"12638","Reykjavíkurborg",140000,72
"12639","Reykjavíkurborg",165000,116.1
"12640","Reykjavíkurborg",108761,79.6
"12641","Reykjavíkurborg",155000,95
"12642","Hafnarfjarðarkaupstaður",75724,42.1
"12643","Hafnarfjarðarkaupstaður",131000,102.6
"12644","Reykjavíkurborg",165000,102
"12645","Reykjavíkurborg",145000,81.3
"12646","Reykjavíkurborg",150000,52.8
"12647","Reykjavíkurborg",80000,37
"12648","Hafnarfjarðarkaupstaður",120000,64
"12649","Reykjavíkurborg",160000,70
"12650","Reykjavíkurborg",180000,67.2
"12651","Reykjavíkurborg",120000,65.5
"12652","Reykjavíkurborg",80000,30
"12653","Hafnarfjarðarkaupstaður",175000,228.6
"12654","Reykjavíkurborg",80000,85
"12655","Reykjavíkurborg",140000,78.9
"12656","Hafnarfjarðarkaupstaður",125000,73.2
"12657","Reykjavíkurborg",101000,91.2
"12658","Hafnarfjarðarkaupstaður",75724,42.1
"12659","Reykjavíkurborg",145000,62
"12660","Reykjavíkurborg",1e+05,81.9
