"","verd","staerd","fj_herb"
"1220",180000,50,2
"1221",250000,103.2,3
"1222",148018,67,2
"1223",148018,67,2
"1224",148018,67,2
"1225",182000,104.2,3
"1226",148018,67,2
"1227",148018,67,2
"1228",148018,67,2
"1229",148018,67,2
"1230",148018,67,2
"1231",148018,67,2
"1232",2e+05,82,2
"1233",148018,50,1
"1234",148018,67,2
"1235",170000,93.8,3
"1236",180000,46,2
"1237",148018,67,2
"1238",148018,67,2
"1239",148018,67,2
"1240",230000,60,2
"1241",148018,67,2
"1242",148018,67,2
"1243",148018,50,1
"1244",148018,50,1
"1245",230000,66,4
"1246",114500,32.4,1
"1247",2e+05,94.2,4
"1248",135000,34.5,2
"1249",250000,91.8,3
"1250",250000,77,4
"1251",245500,122.6,5
"1252",170000,96,4
"1253",114500,34.2,1
"1254",157000,30,1
"1255",2e+05,49.2,2
"1256",150000,35,1
"1257",173692,79.4,2
"1258",163000,76.9,2
"1259",245000,100,3
"1260",190000,55.2,2
"1261",220000,85.8,3
"1262",220000,112.9,4
"1263",165000,57.5,2
"1264",175000,30,2
"1265",226019,80,3
"1266",180000,54.7,2
"1267",202000,61.7,2
"1268",178000,105.8,3
"1269",190000,76.4,2
"1270",243500,123.6,5
"1271",220000,77.5,3
"1272",130000,52,2
"1273",214500,94.6,3
"1274",170000,50.6,1
"1275",210000,67.5,2
"1276",245000,115,3
"1277",230000,86.9,3
"1278",185000,58,2
"1279",260000,109.5,4
"1280",1e+05,120,3
"1281",180000,100,3
"1282",235000,100.5,4
"1283",244000,122.6,5
"1284",173000,61.4,2
"1285",175000,60.7,3
"1286",250000,50,3
"1287",170000,41.1,2
"1288",195000,72.3,2
"1289",240000,81.7,4
"1290",210000,54,2
"1291",143000,60,2
"1292",1e+05,50,2
"1293",180000,68,2
"1294",205000,106,4
"1295",208000,46.1,2
"1296",260000,81.3,3
"1297",250000,99.4,4
"1298",150000,55,3
"1299",267000,113.5,4
"1300",220000,73,3
"1301",243500,123.9,5
"1302",187500,60.5,2
"1303",160000,65.2,2
"1304",255000,101.5,5
"1305",245500,124,5
"1306",210000,59.8,2
"1307",240000,99.5,3
"1308",230000,72,2
"1309",187000,40,2
"1310",144500,56,2
"1311",184918,59,2
"1312",240000,75,2
"1313",3e+05,82.4,4
"1314",165000,55.6,2
"1315",170000,55,2
"1316",270000,91.2,3
"1317",240000,86.9,3
"1318",210000,81,3
"1319",150000,37,1
"1320",3e+05,101.5,3
"1321",280000,83.9,3
"1322",210000,52.5,2
"1323",2e+05,62.4,2
"1324",207500,110.7,3
"1325",135000,43,2
"1326",220000,70,3
"1327",205000,83.8,2
"1328",275000,123.9,4
"1329",245000,68.6,2
"1330",156658,39.7,1
"1331",255000,120.6,5
"1332",198137,92.4,3
"1333",260000,71.2,3
"1334",110000,34,1
"1335",190000,98,3
"1336",235000,78,2
"1337",135000,38,2
"1338",1e+05,109,2
"1339",235000,57.4,1
"1340",215000,62,2
"1341",220000,95.5,4
"1342",2e+05,79.1,3
"1343",176000,35,2
"1344",120000,57,2
"1345",190000,60,2
"1346",160000,59.5,2
"1347",210000,77.2,3
"1348",2e+05,65,3
"1349",110000,21.8,1
"1350",275000,116.3,4
"1351",240000,101.5,3
"1352",175000,73.7,3
"1353",260000,150,4
"1354",160000,43.3,2
"1355",245000,60.7,2
"1356",225000,106.1,4
"1357",104000,50,3
"1358",250000,87.5,3
"1359",235000,79,3
"1360",160000,40.5,2
"1361",205000,85,3
"1362",270000,81.1,3
"1363",250000,80.8,2
"1364",145000,56.7,2
"1365",165000,51.8,2
"1366",145000,37,2
"1367",190000,50.3,2
"1368",215000,81.4,3
"1369",180000,115,3
"1370",230000,71.6,3
"1371",250000,98.1,4
"1372",220000,63,2
"1373",90000,42.9,2
"1374",169726,69.6,2
"1375",270000,126.1,3
"1376",2e+05,50,2
"1377",160000,73.1,3
"1378",144500,78.4,3
"1379",166337,59.3,2
"1380",230000,61.8,2
"1381",180000,48,1
"1382",160000,64,2
"1383",223000,63.3,4
"1384",205000,63.5,3
"1385",180000,105.4,3
"1386",179000,104.4,4
"1387",180000,63,3
"1388",249000,64.9,2
"1389",228000,98.6,3
"1390",220000,106,3
"1391",185000,47.2,2
"1392",130000,50,2
"1393",148900,81.2,2
"1394",173000,61.4,2
"1395",160000,56.9,2
"1396",160000,60.1,2
"1397",225000,65,2
"1398",190000,70,2
"1399",210000,75.1,3
"1400",265000,85,3
"1401",187000,127.6,3
"1402",224941,64.2,3
"1403",355000,152.8,5
"1404",137000,35,1
"1405",250000,67,3
"1406",270000,95,3
"1407",245000,64,3
"1408",230000,75.1,3
"1409",225000,69.8,2
"1410",114500,32.4,1
"1411",190000,58,2
"1412",220000,101.2,3
"1413",289000,116.2,4
"1414",220000,50.9,2
"1415",187000,55.3,2
"1416",242000,82,3
"1417",150000,155,4
"1418",190000,90.9,4
"1419",150000,64,3
"1420",230000,74,3
"1421",185000,47,2
"1422",170000,47.9,2
"1423",195000,59,2
"1424",256000,117,3
"1425",235000,78,2
"1426",173000,61.4,2
"1427",302105,89,2
"1428",220000,60,3
"1429",245500,124.1,5
"1430",198000,54,2
"1431",151000,60.6,2
"1432",172197,68.1,2
"1433",230000,114.3,4
"1434",177000,105.4,3
"1435",217971,96.1,2
"1436",255000,92.3,3
"1437",250000,107.8,4
"1438",240000,75.8,4
"1439",184323,109.5,4
"1440",3e+05,125,4
"1441",185000,58,2
"1442",135000,32,1
"1443",151000,60.8,2
"1444",148000,58.5,2
"1445",150000,40,2
"1446",171000,30,2
"1447",195000,39.2,1
"1448",235000,65,2
"1449",175000,50,2
"1450",239500,122.6,5
"1451",185000,60.6,2
"1452",2e+05,62,2
"1453",240000,79.1,3
"1454",210000,78.2,3
"1455",210000,97.9,3
"1456",319271,112.9,3
"1457",270000,103.3,4
"1458",155000,32,2
"1459",180000,65.5,2
"1460",183000,127.6,3
"1461",149500,60,2
"1462",210000,49,2
"1463",269000,92.2,4
"1464",157000,45.8,2
"1465",93609,32.8,1
"1466",210000,69,2
"1467",230000,60,3
"1468",165000,31.2,1
"1469",160000,88,4
"1470",130473,74.8,2
"1471",150000,58.7,2
"1472",220000,57.6,2
"1473",175000,33.3,1
"1474",130000,69.8,2
"1475",216000,64.8,2
"1476",199000,67,2
"1477",175000,105.9,3
"1478",155000,106.4,3
"1479",180000,51.5,2
"1480",2e+05,75,2
"1481",135000,39.6,1
"1482",215000,69.3,2
"1483",180000,79,3
"1484",245000,66.4,3
"1485",310000,160,6
"1486",290000,96,5
"1487",150000,38,1
"1488",155000,44.6,2
"1489",180000,80,3
"1490",205000,63.9,2
"1491",90000,98,3
"1492",150000,90,3
"1493",159000,52.2,2
"1494",220000,80,3
"1495",270000,95.2,3
"1496",340000,193.9,5
"1497",215000,83.3,3
"1498",220000,63.6,3
"1499",301867,121.2,3
"1500",140000,27.5,2
"1501",165000,57.5,2
"1502",249000,86.1,3
"1503",310000,122,5
"1504",2e+05,57.5,2
"1505",176693,52,2
"1506",230000,64,2
"1507",2e+05,100,4
"1508",235000,88.2,2
"1509",170000,47,1
"1510",285000,112,4
"1511",260000,97,3
"1512",2e+05,59,2
"1513",150000,58.9,2
"1514",1e+05,91.7,4
"1515",2e+05,92,3
"1516",238000,68.5,3
"1517",250000,104.3,4
"1518",225000,63,2
"1519",133000,41.3,2
"1520",155318,45.8,2
"1521",245000,66,3
"1522",178000,105.9,3
"1523",260000,163.7,3
"1524",180000,75,3
"1525",162000,25,2
"1526",160101,36.4,2
"1527",220000,61,3
"1528",205000,70,2
"1529",265000,93.2,3
"1530",220000,196,4
"1531",148000,58.5,2
"1532",260000,114.9,4
"1533",325000,129.6,4
"1534",220000,76,2
"1535",155000,48.3,2
"1536",220000,85,3
"1537",235000,91.8,3
"1538",178000,58,3
"1539",152000,60.6,2
"1540",155000,63.3,2
"1541",210000,87.2,3
"1542",230000,87,3
"1543",2e+05,80,2
"1544",2e+05,60.7,3
"1545",150000,35,1
"1546",210000,90.6,3
"1547",143000,32.9,1
"1548",165000,57.5,2
"1549",185000,69.2,2
"1550",177000,54.7,3
"1551",177000,107.1,3
"1552",2e+05,54.2,2
"1553",220000,74,3
"1554",230000,74,3
"1555",155000,44.6,2
"1556",2e+05,45,3
"1557",195000,64.4,2
"1558",155000,48,3
"1559",2e+05,47.8,2
"1560",210000,89.6,3
"1561",140000,45,2
"1562",220000,55.8,2
"1563",180000,51.7,2
"1564",155000,33.3,2
"1565",215000,62,2
"1566",161360,79.5,2
"1567",190000,46,2
"1568",270000,119.6,3
"1569",1e+05,105.9,3
"1570",2e+05,50.9,2
"1571",225000,78.6,3
"1572",250000,79.9,2
"1573",150000,46,1
"1574",230000,90.8,3
"1575",245000,91.1,3
"1576",210000,60.8,2
"1577",180000,113,4
"1578",225000,64.4,2
"1579",250000,110.4,4
"1580",170000,70,2
"1581",260000,87.8,4
"1582",170000,62,2
"1583",230000,83.7,3
"1584",150000,80,3
"1585",280000,84.2,3
"1586",160000,62.5,2
"1587",110000,79.9,2
"1588",240000,82.5,3
"1589",225000,55,2
"1590",290000,104.5,3
"1591",220000,95,4
"1592",180000,86.1,3
"1593",220000,66.1,2
"1594",235000,78.9,2
"1595",250000,86.1,3
"1596",290751,129,4
"1597",208000,49,2
"1598",217803,99.5,4
"1599",245000,99.5,4
"1600",250000,101.7,3
"1601",180000,52.9,2
"1602",230000,92.4,3
"1603",188617,83.4,3
"1604",2e+05,56.9,2
"1605",120000,40,1
"1606",252075,109.2,3
"1607",250000,86.5,3
"1608",150000,45,2
"1609",180000,60,3
"1610",195000,66.2,3
"1611",160000,68,2
"1612",220000,107.3,3
"1613",150000,244.6,8
"1614",220000,80,3
"1615",215000,54,2
"1616",205000,59,2
"1617",160000,40,1
"1618",195000,92.6,3
"1619",330000,127,4
"1620",215000,108,3
"1621",230000,78,3
"1622",130000,35,2
"1623",179000,87,3
"1624",215000,64.5,2
"1625",150000,244.6,8
"1626",165000,60,2
"1627",240000,88.7,3
"1628",190000,79,3
"1629",79500,24,1
"1630",150000,112.6,5
"1631",215000,90.3,4
"1632",220000,78,2
"1633",210000,50,3
"1634",140000,30,1
"1635",320000,129.7,5
"1636",205000,72.8,3
"1637",180000,58,2
"1638",180000,60,3
"1639",250000,94.3,2
"1640",117099,40.6,2
"1641",219000,52.9,2
"1642",210000,48.1,2
"1643",195000,80,3
"1644",2e+05,87.1,3
"1645",1e+05,89,3
"1646",110000,25,1
"1647",194000,60.8,2
"1648",149500,60,2
"1649",130000,24.5,2
"1650",230000,80.9,2
"1651",150000,50,2
"1652",197000,48,2
"1653",251121,76.9,3
"1654",149000,27,1
"1655",237000,88.2,4
"1656",149500,60,2
"1657",240000,103,3
"1658",240000,92.5,4
"1659",225000,66,3
"1660",220000,130,4
"1661",215000,60.3,2
"1662",260000,105.7,3
"1663",215000,63,2
"1664",230000,83.7,3
"1665",130000,44,2
"1666",2e+05,71.3,2
"1667",2e+05,69.1,3
"1668",250000,90,4
"1669",170000,49.2,2
"1670",165000,83.5,3
"1671",183000,119.6,3
"1672",238000,124.6,5
"1673",220000,58.2,3
"1674",194000,51,3
"1675",235000,79,3
"1676",230000,70.6,3
"1677",2e+05,79.2,3
"1678",195000,34.1,2
"1679",250000,77,3
"1680",180000,59,2
"1681",250000,65,3
"1682",255000,71.3,3
"1683",140000,30,1
"1684",164900,70.9,3
"1685",205000,83.1,3
"1686",170000,80.5,3
"1687",126200,48.5,2
"1688",231500,105.2,5
"1689",155000,45.1,2
"1690",130000,35,1
"1691",125700,48.8,2
"1692",157409,65.5,2
"1693",250000,99.5,3
"1694",2e+05,60,3
"1695",118700,45.6,2
"1696",275000,97.8,4
"1697",205400,90.6,4
"1698",210000,61.9,2
"1699",235000,82.5,3
"1700",130000,32,1
"1701",168700,68.2,3
"1702",122200,45.6,2
"1703",169800,70.9,3
"1704",213700,97.8,4
"1705",198200,87.4,4
"1706",118700,45.6,2
"1707",180000,65,2
"1708",282278,71.9,2
"1709",210000,68,2
"1710",195000,75,3
"1711",155000,113,4
"1712",214200,92.6,4
"1713",240000,65,3
"1714",194699,106.1,4
"1715",264000,78.1,3
"1716",245000,90.3,3
"1717",120000,42.9,2
"1718",211600,90.6,4
"1719",126200,48.5,2
"1720",203600,89.8,4
"1721",208000,63.2,2
"1722",160000,65,2
"1723",186400,78.6,3
"1724",2e+05,75.8,3
"1725",168600,71.8,3
"1726",245000,93.5,3
"1727",267015,134.5,4
"1728",250000,81,2
"1729",264000,77.7,3
"1730",3e+05,105.1,4
"1731",234120,181.6,6
"1732",235000,60,3
"1733",186588,42.9,1
"1734",171119,94.4,3
"1735",180000,106.8,3
"1736",130000,30,1
"1737",225000,71.7,2
"1738",260000,105,3
"1739",175000,54.8,2
"1740",205000,74.4,2
"1741",164914,67.4,2
"1742",236000,88,3
"1743",120000,45,2
"1744",215000,65,2
"1745",265000,111.3,3
"1746",163380,70.6,2
"1747",173000,61.4,2
"1748",182000,105.9,3
"1749",315000,102,3
"1750",150000,26.8,1
"1751",155000,35,1
"1752",229000,85.4,3
"1753",150000,67.5,2
"1754",152157,42.9,2
"1755",250000,80,3
"1756",203959,96.2,3
"1757",220000,96.3,3
"1758",193246,95,4
"1759",205000,49,2
"1760",265000,110.1,4
"1761",221500,94.6,3
"1762",260000,105.8,4
"1763",160000,38.3,1
"1764",150000,40,2
"1765",210000,49.8,2
"1766",250000,93.9,3
"1767",165500,65,2
"1768",160000,37,1
"1769",240000,95,4
"1770",280000,89,4
"1771",160000,82.1,3
"1772",130000,40,2
"1773",150000,46,2
"1774",160000,50,2
"1775",160000,105.9,3
"1776",225000,57.5,2
"1777",227000,106.4,3
"1778",235000,97.7,4
"1779",245500,123.8,5
"1780",282864,72,2
"1781",145684,64,2
"1782",185000,80,3
"1783",265000,108.5,3
"1784",3e+05,110,4
"1785",260000,127.8,4
"1786",150000,45,1
"1787",210000,124,5
"1788",170000,55,2
"1789",220000,54.5,2
"1790",250000,101.8,4
"1791",330000,143,5
"1792",180000,55,1
"1793",2e+05,93.9,3
"1794",259000,86.2,3
"1795",330000,143,5
"1796",125500,32.4,1
"1797",181400,45,1
"1798",183000,65,2
"1799",275000,114.9,4
"1800",230000,56.8,3
"1801",455000,172.3,5
"1802",245500,123,5
"1803",187000,60.7,3
"1804",2e+05,60,2
"1805",140000,28,1
"1806",190000,87.6,3
"1807",180000,75.1,3
"1808",240000,96,3
"1809",160000,85.4,3
"1810",140000,90,3
"1811",235000,68,3
"1812",240000,89.1,3
"1813",210000,68.7,2
"1814",195000,72,2
"1815",235500,145.3,4
"1816",180000,56,2
"1817",210000,57.7,2
"1818",185000,122.4,3
"1819",230000,81,3
"1820",115000,32,1
"1821",220000,55.5,3
"1822",173000,61.4,2
"1823",140000,27,2
"1824",250000,90.5,3
"1825",240000,61.6,2
"1826",310000,103.2,4
"1827",225000,45,3
"1828",240000,68.5,3
"1829",250000,77.3,3
"1830",165000,25,1
"1831",155000,48.3,2
"1832",150000,106.8,3
"1833",185000,49.4,2
"1834",235000,67.3,3
"1835",220000,75,3
"1836",210000,90,3
"1837",197500,50,2
"1838",236490,61.2,2
"1839",140000,38,1
"1840",2e+05,56.6,2
"1841",226000,126.4,3
"1842",150000,45,1
"1843",190000,48,1
"1844",2e+05,72,2
"1845",249000,83.2,3
"1846",180000,50,2
"1847",295000,108.8,4
"1848",220000,75,2
"1849",270000,102,4
"1850",155000,25,1
"1851",190000,70,2
"1852",2e+05,45,2
"1853",195000,48.4,2
"1854",228000,78.6,3
"1855",190000,84.2,3
"1856",217490,53,2
"1857",260000,94,3
"1858",195000,60,2
"1859",117000,32.4,1
"1860",165000,77.3,3
"1861",95000,40.2,1
"1862",140000,40,1
"1863",130000,30,1
"1864",140000,44.7,1
"1865",150000,45,2
"1866",190000,84.2,3
"1867",150000,143.3,4
"1868",190000,62,2
"1869",155000,48.3,2
"1870",250000,83.3,3
"1871",135000,41.3,2
"1872",295000,103.9,4
"1873",180000,58.7,2
"1874",230000,68,3
"1875",210000,101,4
"1876",187000,122.5,4
"1877",175000,41.4,2
"1878",250000,88.8,2
"1879",285000,114.1,4
"1880",160000,40,2
"1881",143000,34.7,1
"1882",190000,72.9,2
"1883",240000,72,4
"1884",240000,66,2
"1885",190000,75.9,2
"1886",175000,56.6,2
"1887",217702,106.2,3
"1888",280000,106.7,4
"1889",175000,40,2
"1890",140000,27,1
"1891",195000,44.9,2
"1892",150000,57.6,2
"1893",250000,75.1,3
"1894",275000,99,4
"1895",180000,59.5,2
"1896",165000,55,2
"1897",210000,57.3,2
"1898",140000,60,2
"1899",150000,50,2
"1900",269000,79.6,3
"1901",140000,45.5,2
"1902",230000,80,3
"1903",250000,93.3,4
"1904",180000,56.6,2
"1905",150000,30,1
"1906",235500,124.1,4
"1907",140000,36.7,2
"1908",265000,92.1,3
"1909",240000,85.2,3
"1910",160000,105.4,3
"1911",143000,33.9,2
"1912",170000,88.9,3
"1913",180000,58,2
"1914",2e+05,79.1,3
"1915",135000,34,1
"1916",180000,52.8,2
"1917",145000,33.1,1
"1918",260000,80.5,3
"1919",120000,58.8,2
"1920",125000,25,1
"1921",175000,50,2
"1922",168600,45.9,1
"1923",210000,55.9,2
"1924",185104,59.8,2
"1925",243152,82,2
"1926",220000,47.5,2
"1927",130000,39,1
"1928",2e+05,62,2
"1929",210000,47.3,2
"1930",102000,33.5,1
"1931",114500,32.4,1
"1932",203250,102.4,3
"1933",210000,57,2
"1934",250000,104.7,3
"1935",220000,62,3
"1936",220000,80,3
"1937",219000,60,4
"1938",255000,79.4,3
"1939",250000,97,3
"1940",265000,88,3
"1941",250000,73,2
"1942",130000,85.4,3
"1943",130000,30,1
"1944",260000,99.2,5
"1945",350000,115.2,4
"1946",230000,107.3,3
"1947",130000,45,1
"1948",170000,75,3
"1949",270000,106.4,5
"1950",250000,100.8,3
"1951",173000,61.4,2
"1952",235000,97,4
"1953",193000,92.8,3
"1954",240000,79,3
"1955",90000,25,1
"1956",190000,73.4,2
"1957",145000,32.6,1
"1958",264410,106.2,3
"1959",322293,148.2,5
"1960",187000,72,2
"1961",265000,82.2,3
"1962",135000,30,1
"1963",210000,63.5,2
"1964",2e+05,72.4,3
"1965",130000,107,4
"1966",160000,76,2
"1967",190000,60,3
"1968",270000,108.5,3
"1969",250000,67.4,3
"1970",130000,30,1
"1971",155000,130,2
"1972",225000,68.5,2
"1973",187000,65,3
"1974",273000,123.8,4
"1975",270000,122.4,3
"1976",1e+05,21.3,1
"1977",230000,74,4
"1978",210000,87.5,3
"1979",205000,58,2
"1980",2e+05,56.9,2
"1981",78720,32.8,1
"1982",78720,32.8,1
"1983",2e+05,87.7,3
"1984",146000,82.1,3
"1985",240000,97.7,2
"1986",150000,40,1
"1987",205000,53.6,2
"1988",204500,70.4,2
"1989",114500,32.4,1
"1990",260000,98.9,3
"1991",170000,40,1
"1992",2e+05,66.4,2
"1993",280000,105,4
"1994",165700,70.9,3
"1995",225000,71.1,2
"1996",270000,102.4,3
"1997",203000,133.9,4
"1998",180000,82.3,2
"1999",150000,70,2
"2000",250000,120,5
"2001",160000,47,2
"2002",190000,83,2
"2003",220000,70,3
"2004",190000,43,2
"2005",260000,116,4
"2006",175000,70.6,3
"2007",3e+05,107.6,3
"2008",240000,77.5,3
"2009",180000,64,2
"2010",175000,49.1,2
"2011",209500,89.9,3
"2012",260000,80,4
"2013",165000,76.9,2
"2014",145000,70.4,2
"2015",181000,103.9,3
"2016",270000,120,3
"2017",117000,52.7,2
"2018",195000,58,2
"2019",270000,105.9,3
"2020",239000,73,3
"2021",260000,80.6,2
"2022",280000,97.4,3
"2023",137308,50.7,2
"2024",220000,63,2
"2025",270000,89.4,3
"2026",120000,42.8,1
"2027",255000,89.2,3
"2028",246805,89.8,3
"2029",250000,84.9,3
"2030",120000,42,2
"2031",235000,66.9,3
"2032",180974,88.5,3
"2033",180000,69.7,3
"2034",235000,79.9,3
"2035",265000,100.3,3
"2036",250000,103.4,3
"2037",177489,114.3,3
"2038",100479,33.7,1
"2039",270000,97.5,3
"2040",180000,55.3,2
"2041",190000,65,2
"2042",180000,48.6,2
"2043",165700,70.9,3
"2044",134400,48.5,2
"2045",160000,63,3
"2046",126200,48.5,2
"2047",228000,80,3
"2048",290000,132.3,4
"2049",170000,55.4,2
"2050",207300,91,4
"2051",169000,70.9,3
"2052",145000,33,2
"2053",165800,70.9,3
"2054",118700,45.6,2
"2055",230000,40,2
"2056",150000,30,1
"2057",149900,60.9,3
"2058",207700,89.8,4
"2059",167000,71.8,3
"2060",153000,30,2
"2061",121600,45.6,2
"2062",181700,76.6,3
"2063",172000,45,2
"2064",260000,125,4
"2065",207000,79.9,3
"2066",210000,84,3
"2067",160000,38,1
"2068",190000,49,2
"2069",119200,45.6,2
"2070",235000,108.7,3
"2071",116100,44.6,2
"2072",226000,65.6,3
"2073",220000,51,2
"2074",240500,145.3,4
"2075",167800,71.8,3
"2076",170000,145,4
"2077",185000,100,3
"2078",65000,85,3
"2079",240000,98.3,4
"2080",281990,112,3
"2081",228123,89.6,3
"2082",166000,60,2
"2083",205000,76.5,2
"2084",262000,96,3
"2085",240000,90,4
"2086",250000,82,3
"2087",290000,119.4,3
"2088",183000,105.9,3
"2089",160000,48,2
"2090",275000,95,3
"2091",120000,63.9,2
"2092",250000,101,3
"2093",265000,75,3
"2094",170000,80.6,3
"2095",170000,70,3
"2096",220000,57,2
"2097",225000,65,2
"2098",190000,80.1,3
"2099",255000,94.8,2
"2100",180000,36.3,1
"2101",220000,80,3
"2102",135000,44.6,1
"2103",170000,50.5,3
"2104",250000,93,3
"2105",203000,140.1,4
"2106",260000,94,3
"2107",230000,70,3
"2108",120000,36,2
"2109",190000,65.2,2
"2110",180000,86.9,4
"2111",135000,30,1
"2112",250000,79,3
"2113",250000,80,3
"2114",170000,58,2
"2115",2e+05,79.5,2
"2116",190000,67.5,3
"2117",195000,134.3,4
"2118",114500,32.4,1
"2119",175000,52.3,2
"2120",185000,69,2
"2121",196000,95,4
"2122",210000,74,2
"2123",270000,99.8,4
"2124",110000,24,1
"2125",284000,134.4,5
"2126",155000,84,3
"2127",220000,105,4
"2128",250000,90,4
"2129",190000,88.2,3
"2130",210000,98.7,3
"2131",270000,104.4,4
"2132",260000,112.4,4
"2133",190000,44.7,1
"2134",185000,111,3
"2135",267000,71.5,3
"2136",290000,105,4
"2137",144000,57.8,2
"2138",219000,69.6,3
"2139",180000,89.5,2
"2140",2e+05,55.6,2
"2141",220000,90,3
"2142",156000,63.8,2
"2143",280000,111.6,4
"2144",180000,90,3
"2145",270000,177,5
"2146",260000,129.3,4
"2147",260000,105.2,4
"2148",220000,79,3
"2149",205000,71.4,2
"2150",230000,106,3
"2151",265000,85,3
"2152",133000,41.3,2
"2153",190000,59.8,2
"2154",177600,32,1
"2155",130000,28.8,1
"2156",204943,68.2,2
"2157",220000,71.1,3
"2158",235000,65.6,2
"2159",230000,83.4,3
"2160",350000,130,5
"2161",2e+05,70,2
"2162",150000,60,2
"2163",150000,40,2
"2164",150000,40,2
"2165",240000,70,3
"2166",250000,100,4
"2167",208000,50,3
"2168",260000,66.5,3
"2169",195000,62.1,2
"2170",220000,62.7,2
"2171",130000,39,1
"2172",367526,143,4
"2173",170000,50,2
"2174",300976,141.5,4
"2175",240000,69.4,3
"2176",240000,102,3
"2177",240000,74.8,3
"2178",145000,44,2
"2179",270000,119.6,3
"2180",245000,106,2
"2181",165000,43,2
"2182",219000,53.4,2
"2183",140000,43.4,2
"2184",125000,70,1
"2185",290000,128,4
"2186",270000,114,4
"2187",80000,60,2
"2188",219000,55.4,2
"2189",190000,63,3
"2190",235000,67.8,3
"2191",250000,110,4
"2192",240000,84,3
"2193",230000,82.7,4
"2194",210000,87.2,3
"2195",160000,40,2
"2196",219000,51.3,2
"2197",210000,87.2,3
"2198",215000,88,2
"2199",115000,22,1
"2200",190000,79,4
"2201",190000,81.6,3
"2202",280000,102.4,3
"2203",160000,44,1
"2204",182000,40,2
"2205",255000,80,3
"2206",2e+05,54.3,2
"2207",1e+05,35,1
"2208",140000,45,2
"2209",235500,124.1,4
"2210",250000,83.9,3
"2211",170000,72,3
"2212",195000,71.7,3
"2213",212000,54.9,3
"2214",83500,60,2
"2215",195000,86,2
"2216",83500,60,2
"2217",114500,32.4,1
"2218",260000,130,4
"2219",210000,59.7,2
"2220",262000,65.7,3
"2221",250000,100,4
"2222",310000,114,4
"2223",170000,50,2
"2224",252546,104.1,4
"2225",230000,80.2,3
"2226",155000,40,1
"2227",225000,60.5,2
"2228",147500,34.7,2
"2229",120000,43.7,1
"2230",180000,64,1
"2231",280000,107.8,4
"2232",220000,65,3
"2233",140000,45,2
"2234",150000,69.4,2
"2235",335000,133.9,5
"2236",285000,84.5,3
"2237",180000,80,3
"2238",270000,104,4
"2239",150000,67.4,3
"2240",245000,69.2,2
"2241",233904,82.4,3
"2242",245273,82,3
"2243",270000,111.5,4
"2244",248319,85.1,3
"2245",114500,32.4,1
"2246",218645,66.5,2
"2247",265000,93.2,3
"2248",205000,90.1,3
"2249",180000,60,2
"2250",210000,80,3
"2251",210000,52.3,2
"2252",125000,29,2
"2253",220000,73.7,2
"2254",197726,54.8,2
"2255",165000,49,1
"2256",252301,83.2,2
"2257",160000,50,2
"2258",270500,98.4,3
"2259",284000,106.5,3
"2260",140000,40,2
"2261",240000,85.7,3
"2262",175000,72.9,2
"2263",210000,81.3,3
"2264",245000,86,2
"2265",215000,83.2,3
"2266",195000,60,2
"2267",130000,34.9,3
"2268",190000,116.5,4
"2269",254425,91.4,3
"2270",195000,86.2,3
"2271",225000,54.5,2
"2272",195000,89.4,3
"2273",225000,52,2
"2274",253775,103.3,3
"2275",230000,98.2,3
"2276",185000,60.4,2
"2277",221180,89,2
"2278",220000,85.9,3
"2279",95000,130,4
"2280",215000,67.8,3
"2281",285000,90.9,4
"2282",210000,93.7,3
"2283",140000,35,1
"2284",225000,88.4,3
"2285",180000,47.2,1
"2286",226500,83,4
"2287",159000,38.1,1
"2288",205000,55,2
"2289",192000,61.7,2
"2290",221500,70,2
"2291",220000,75,3
"2292",270000,115.8,3
"2293",210000,63.6,2
"2294",175000,37.5,1
"2295",190000,60.7,3
"2296",210000,62.7,4
"2297",340000,118,5
"2298",165000,40,2
"2299",115000,48.6,2
"2300",226000,120.8,4
"2301",290181,72.4,2
"2302",276000,117,3
"2303",160000,30,2
"2304",250000,128.1,4
"2305",235000,60.3,2
"2306",220000,87,3
"2307",220000,60,3
"2308",114500,32.4,1
"2309",140000,106,4
"2310",220000,92.4,3
"2311",150000,24,1
"2312",235000,71.7,3
"2313",280000,93.2,4
"2314",160000,29.7,3
"2315",290000,87.5,3
"2316",130000,25,2
"2317",172000,65,2
"2318",70000,67,3
"2319",149500,60,2
"2320",285000,112.4,3
"2321",80000,75,2
"2322",250000,69.4,3
"2323",285000,120.3,4
"2324",190000,50,2
"2325",240000,76,3
"2326",294815,132.8,4
"2327",220000,79.4,3
"2328",220000,70,3
"2329",229159,87.6,3
"2330",210000,54,2
"2331",195000,60,2
"2332",180000,78.4,3
"2333",2e+05,74,3
"2334",2e+05,68,2
"2335",310000,101.2,4
"2336",170000,63,2
"2337",220000,70,3
"2338",180000,45,2
"2339",270000,96,3
"2340",220000,72.8,3
"2341",180000,56.4,3
"2342",155000,44.9,2
"2343",235000,78,3
"2344",155000,45.8,2
"2345",145000,44.2,1
"2346",210000,59.6,2
"2347",280000,115.8,3
"2348",260000,99,5
"2349",158000,37.7,2
"2350",185000,60,2
"2351",250000,79,2
"2352",260000,72.1,3
"2353",140000,60,2
"2354",210000,57,2
"2355",150000,33,1
"2356",131900,48.5,2
"2357",335000,120,4
"2358",3e+05,116,4
"2359",235000,74,2
"2360",240000,61.9,2
