"","verd","staerd","fj_herb"
"285",176000,106,3
"286",195000,44,2
"287",195000,44,2
"288",162000,33,2
"289",237500,124.1,5
"290",2e+05,57.7,2
"291",2e+05,82,3
"292",160000,55,2
"293",150000,40.9,2
"294",150000,38,2
"295",205000,51.7,2
"296",250000,100.4,3
"297",150000,45.8,2
"298",135000,33.5,1
"299",165000,38.4,2
"300",175000,66,2
"301",211052,67.5,2
"302",195000,44,2
"303",220000,66.9,3
"304",165000,60,2
"305",260000,104.5,3
"306",182000,47.6,2
"307",218000,94,4
"308",270000,85.6,3
"309",180000,61.4,2
"310",270000,102.5,3
"311",185000,90,3
"312",110000,60,3
"313",2e+05,75,2
"314",230000,77.8,2
"315",229000,81,3
"316",250000,84.6,3
"317",160000,38,2
"318",225000,60,2
"319",192500,65.9,2
"320",1e+05,40,1
"321",230000,67.9,3
"322",140000,25,1
"323",195000,57,2
"324",240000,107.3,3
"325",190000,59.4,2
"326",180000,58,2
"327",176000,105.9,3
"328",195000,134.5,4
"329",235000,84.4,4
"330",274000,81,3
"331",186000,148,4
"332",150000,60,2
"333",195000,69.9,3
"334",260000,102.7,3
"335",241728,86.7,3
"336",292644,118.8,3
"337",190000,45,2
"338",150000,72.6,3
"339",190000,45,2
"340",225000,149.8,5
"341",180000,73.2,2
"342",210000,62.4,2
"343",167000,62,2
"344",264000,112.5,4
"345",220000,94.5,4
"346",244334,79,3
"347",130000,40,1
"348",260000,82.2,3
"349",136877,72.8,2
"350",190000,74.5,2
"351",250000,136,3
"352",177000,105.9,3
"353",250000,99,4
"354",210000,65.5,3
"355",225000,186,4
"356",185000,30,1
"357",193500,90,3
"358",165000,62.4,2
"359",248000,55.1,2
"360",210000,120.1,4
"361",188000,77.3,2
"362",239000,88.5,3
"363",195000,70,3
"364",260000,93.1,3
"365",260000,109.1,3
"366",210000,74,3
"367",187000,35.6,1
"368",2e+05,73.9,3
"369",230000,90.3,3
"370",150000,65,3
"371",125000,32,2
"372",155000,45,2
"373",225000,72,3
"374",180000,141.8,4
"375",255000,109,3
"376",263000,97.3,3
"377",220000,98,3
"378",126000,113,2
"379",177000,105.9,3
"380",2e+05,68.3,2
"381",199000,147.8,4
"382",199000,187.6,5
"383",265000,84.6,4
"384",240000,80.5,3
"385",175000,35,2
"386",210000,73,3
"387",240000,114.4,4
"388",225000,69.2,2
"389",240000,116.6,4
"390",135000,40,2
"391",160000,40,1
"392",185000,59.3,2
"393",2e+05,49.8,2
"394",140000,40,2
"395",220000,66.9,2
"396",195000,58.4,2
"397",245000,76.1,3
"398",240000,84,3
"399",275000,106,3
"400",210000,90,3
"401",190000,108.8,4
"402",190000,64.1,2
"403",240000,96.3,3
"404",195000,43.8,2
"405",266000,98.4,3
"406",176000,107.1,3
"407",265000,94,4
"408",250000,147.7,5
"409",320000,81.1,4
"410",269000,81,3
"411",185000,62.4,2
"412",281000,115.9,4
"413",250000,104.2,2
"414",240000,68.9,3
"415",230000,85.7,3
"416",2e+05,59,2
"417",160000,63,3
"418",218500,93.8,3
"419",220000,94.3,4
"420",113500,32.4,1
"421",250000,100.7,3
"422",113500,32.4,1
"423",150000,79.1,3
"424",170000,55,2
"425",270000,101.2,3
"426",220000,96.6,4
"427",170000,50.9,1
"428",2e+05,84.1,3
"429",242000,88.9,3
"430",195500,89.4,3
"431",177000,105.7,3
"432",110000,22,1
"433",170000,48,2
"434",176000,104.2,3
"435",160000,45,2
"436",198000,54,2
"437",230000,84.7,1
"438",160000,40,1
"439",2e+05,63.5,2
"440",260000,88.2,3
"441",130000,30,2
"442",260000,99.3,3
"443",2e+05,80,3
"444",264000,78.1,3
"445",82000,64,1
"446",295000,119.8,3
"447",195500,89.9,3
"448",240000,80,4
"449",223000,70.2,2
"450",150000,50,1
"451",230000,82.2,2
