id;ID2;hopur;stard_sk;Strf_ald;stadsetn;Hof_land;Ladhl;sp_a10;sp_b13;sp_b14;sp_a01;sp_c04;sp_b01;sp_b02;sp_b03;sp_b04;sp_a02;sp_a03;sp_a04;sp_a05;sp_a06;sp_a07;sp_a08;sp_a09;sp_b05;sp_b06;sp_b07;sp_b08;sp_b09;sp_b10;sp_b11;sp_b12;sp_c01;sp_c02;sp_c03;nmiss;Nmiss_f
100037;37;1;31;-999;6;2;6;-999;-999;-999;0;1;0;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;3;0
100038;38;1;31;-999;1;1;1;-999;-999;-999;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100039;39;1;11;-999;4;2;3;-999;-999;-999;0;1;1;1;1;1;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0;1;1;1;1;3;0
100040;40;1;31;-999;4;2;3;-999;-999;-999;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;3;0
100041;41;1;21;-999;3;2;3;-999;-999;-999;0;1;1;1;1;1;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;1;1;1;1;3;0
100042;42;1;21;-999;4;2;3;-999;-999;-999;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;3;0
100043;43;1;31;-999;1;1;1;-999;-999;-999;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;-999;1;1;0;4;1
100044;44;1;51;-999;1;1;1;-999;-999;-999;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;3;0
100045;45;1;21;-999;4;2;3;-999;-999;-999;1;1;1;1;1;1;1;0;1;0;1;-999;0;1;1;1;1;1;1;1;1;0;1;1;1;4;1
100046;46;1;51;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;3;0
100047;47;1;51;-999;1;1;1;-999;-999;-999;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;3;0
100048;48;1;31;-999;4;2;3;-999;-999;-999;0;1;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;3;0
100049;49;1;51;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;3;0
100050;50;1;31;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100051;51;1;31;-999;6;2;6;-999;-999;-999;0;-999;-999;-999;1;1;0;0;1;1;0;0;0;0;1;-999;1;1;0;0;1;1;-999;-999;-999;10;7
100052;52;1;31;-999;3;2;3;-999;-999;-999;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;3;0
100053;53;1;31;-999;4;2;3;-999;-999;-999;1;0;1;-999;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;4;1
100054;54;1;51;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;3;0
100055;55;1;31;-999;1;1;1;-999;-999;-999;0;1;1;0;1;1;1;0;1;0;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1;3;0
100056;56;1;31;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;0;0;-999;1;0;-999;-999;1;0;0;0;1;0;0;0;1;0;0;6;3
100057;57;1;31;-999;6;2;6;-999;-999;-999;0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;3;0
100058;58;1;21;-999;4;2;3;-999;-999;-999;0;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;-999;1;1;1;1;4;1
100059;59;1;31;-999;4;2;3;-999;-999;-999;1;1;1;1;1;0;0;0;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;3;0
100060;60;1;21;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;-999;1;-999;1;-999;-999;1;1;1;1;1;1;1;1;1;1;1;1;7;4
100061;61;1;31;-999;6;2;6;-999;-999;-999;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;3;0
100062;62;1;51;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;3;0
100063;63;1;51;-999;1;1;1;-999;-999;-999;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100064;64;1;21;-999;3;2;3;-999;-999;-999;0;1;1;1;1;0;0;0;1;0;1;0;0;1;1;1;0;1;1;0;1;1;1;1;1;3;0
100065;65;1;31;-999;1;1;1;-999;-999;-999;0;1;0;1;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;3;0
100066;66;1;51;-999;1;1;1;-999;-999;-999;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;-999;1;1;1;0;1;1;1;1;4;1
100067;67;1;31;-999;1;1;1;-999;-999;-999;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;3;0
100068;68;1;11;-999;3;2;3;-999;-999;-999;0;0;1;1;1;1;0;0;1;0;1;0;0;1;1;1;0;1;0;1;1;1;1;1;1;3;0
100069;69;1;51;-999;1;1;1;-999;-999;-999;0;0;0;1;1;-999;0;1;1;-999;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;5;2
100070;70;1;31;-999;6;2;6;-999;-999;-999;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;3;0
100071;71;1;21;-999;4;2;3;-999;-999;-999;0;0;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100072;72;1;31;-999;3;2;3;-999;-999;-999;1;0;1;1;1;1;1;1;1;-999;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;4;1
100073;73;1;31;-999;4;2;3;-999;-999;-999;0;1;0;0;1;1;0;0;1;0;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;3;0
