"","trstplc","lrscale","rlgdgr","eduyrs","hinctnt","socialtrust","age"
"151",8,5,10,13,9,4.33333333333333,43
"152",9,3,3,19,9,7,62
"153",8,1,2,18,2,8,27
"154",8,7,5,14,10,3,43
"155",8,6,2,18,10,6.33333333333333,61
"156",8,7,6,14,9,6.66666666666667,36
"157",3,4,0,19,10,7.33333333333333,45
"158",8,6,4,18,3,7.33333333333333,30
"159",8,5,7,6,NA,7.66666666666667,46
"160",8,9,8,17,11,3.33333333333333,23
"161",8,7,7,18,9,5,37
"162",7,5,4,14,9,6.33333333333333,22
"163",5,4,10,17,9,6.66666666666667,44
"164",2,NA,3,10,5,4,19
"165",6,5,6,8,9,5.66666666666667,47
"166",8,4,4,12,9,6.33333333333333,37
"167",7,5,7,15,7,5.66666666666667,37
"168",5,0,5,4,7,7.66666666666667,73
"169",5,5,4,12,8,5.66666666666667,62
"170",2,NA,5,10,9,4,55
"171",9,6,7,13,9,5,53
"172",NA,NA,4,11,9,4.66666666666667,23
"173",5,6,2,10,2,5.66666666666667,32
"174",10,5,9,13,9,4.66666666666667,32
"175",8,5,0,12,4,6,35
"176",10,4,7,15,6,NA,89
"177",8,3,8,5,4,4.33333333333333,53
"178",5,6,8,2,10,7,26
"179",9,5,8,11,2,8,70
"180",8,6,0,15,9,6.66666666666667,22
"181",7,4,6,14,9,6,33
"182",3,6,3,10,NA,4.66666666666667,19
"183",8,4,8,4,5,9.66666666666667,85
"184",7,9,8,16,9,7.66666666666667,51
"185",9,4,2,13,12,6.66666666666667,18
"186",9,5,5,19,NA,5.33333333333333,49
"187",8,8,2,18,9,4,45
"188",6,4,7,6,4,4.66666666666667,63
"189",7,7,4,19,12,7.66666666666667,53
"190",4,5,7,20,2,6,33
"191",7,4,7,10,7,5.33333333333333,52
"192",8,6,8,18,11,6,59
"193",6,4,2,16,9,7.33333333333333,25
"194",5,9,3,10,5,7,34
"195",7,5,5,21,10,7.33333333333333,35
"196",9,3,0,15,8,4.33333333333333,46
"197",5,3,4,18,9,7,29
"198",7,8,7,22,11,7,28
"199",10,5,8,15,8,10,46
"200",10,5,10,5,5,8.33333333333333,78
"201",7,4,7,17,9,7,32
"202",7,7,10,20,10,6.66666666666667,50
"203",7,7,5,13,11,6.33333333333333,43
"204",9,9,9,NA,NA,10,86
"205",5,5,6,11,9,2,57
"206",5,7,6,20,9,7,42
"207",8,4,9,12,9,6.66666666666667,43
"208",1,4,8,16,8,5.66666666666667,52
"209",8,8,7,9,NA,6.33333333333333,14
"210",9,4,6,9,8,7.66666666666667,79
"211",8,4,3,19,9,6.33333333333333,31
